Ω√¡°,Erlog
2019-01-09,7.019028281391566
2019-01-10,7.017595744661669
2019-01-11,7.01856293201318
2019-01-14,
2019-01-15,7.02339379457603
2019-01-16,7.020280069823982
2019-01-17,7.0240616693787885
2019-01-18,7.023580844487728
2019-01-21,
2019-01-22,7.029548042701269
2019-01-23,7.028103909572345
2019-01-24,7.026719838586341
2019-01-25,7.018920912292289
2019-01-28,7.019922575852885
2019-01-29,7.01907301511409
2019-01-30,7.018661389365562
2019-01-31,7.013753591204487
2019-02-01,7.019573896138488
2019-02-04,7.020324747585633
2019-02-05,7.018580834071022
2019-02-06,7.020503438673891
2019-02-07,7.0247468904338755
2019-02-08,7.023883613041293
2019-02-11,7.026471212687121
2019-02-12,7.0231086988442994
2019-02-13,7.024043865171653
2019-02-14,7.028201432058005
2019-02-15,7.0260626216100395
2019-02-18,
2019-02-19,7.025129342131775
2019-02-20,
2019-02-21,7.026009314811634
2019-02-22,7.022038865368808
2019-02-25,7.017595744661669
2019-02-26,7.018294362680392
2019-02-27,7.019064068529672
2019-02-28,7.025227155122308
2019-03-01,7.027101536614579
2019-03-04,7.027074911246814
2019-03-05,7.026835251030594
2019-03-06,7.027474217346861
2019-03-07,7.032783118665422
2019-03-08,7.031511550403384
2019-03-11,7.032668390680934
2019-03-12,7.028103909572345
2019-03-13,7.030388754435353
2019-03-14,7.03443198180864
2019-03-15,7.0338944160871
2019-03-18,7.031511550403384
2019-03-19,7.029087564149662
2019-03-20,7.0284230387071105
2019-03-21,7.028555979127841
2019-03-22,7.035972576782891
2019-03-25,7.031635246076844
2019-03-26,7.0331095801348384
2019-03-27,7.037106697675127
2019-03-28,7.035840618745356
2019-03-29,7.035532648923963
2019-04-01,7.0326242610280065
2019-04-02,7.0362892050463675
2019-04-03,7.033762183516262
2019-04-04,7.035312612397012
2019-04-05,7.036034151241824
2019-04-08,7.041630362538164
2019-04-09,7.03900281559181
2019-04-10,7.036377139552804
2019-04-11,7.039423687328594
2019-04-12,7.0326242610280065
2019-04-15,7.033153688376471
2019-04-16,7.0353830293534445
2019-04-17,7.031476205971896
2019-04-18,7.035444640123027
2019-04-19,7.034740290736626
2019-04-22,7.039239577739033
2019-04-23,7.041604121214201
2019-04-24,7.0524182352226985
2019-04-25,7.056304586085376
2019-04-26,7.054536010190332
2019-04-29,7.05617528410041
2019-04-30,7.060562199225895
2019-05-01,7.057562252848903
2019-05-02,7.061865958009374
2019-05-03,7.061291484344339
2019-05-06,7.064075033237091
2019-05-07,7.066893500320434
2019-05-08,7.064929953354135
2019-05-09,7.075893391259617
2019-05-10,7.070401200416095
2019-05-13,7.079133845733106
2019-05-14,7.079133845733106
2019-05-15,7.080649201626531
2019-05-16,7.082145465449812
2019-05-17,7.0859600400558795
2019-05-20,7.084905152311964
2019-05-21,7.0853238917449115
2019-05-22,7.085365756045973
2019-05-23,7.081128586005257
2019-05-24,7.078510199404627
2019-05-27,
2019-05-28,7.0788979171846576
2019-05-29,7.0788979171846576
2019-05-30,7.0809856357643115
2019-05-31,7.082128665926917
2019-06-03,7.074091413673197
2019-06-04,7.073761122124387
2019-06-05,7.071777078604659
2019-06-06,7.072854376980506
2019-06-07,7.074345409881552
2019-06-10,7.077506492352191
2019-06-11,7.072320114186833
2019-06-12,7.075656696864788
2019-06-13,7.076003266044732
2019-06-14,7.077244856960713
2019-06-17,7.078788360006235
2019-06-18,7.077810241120546
2019-06-19,7.077810241120546
2019-06-20,7.055355983047702
2019-06-21,7.058973090724758
2019-06-24,7.0528421491658655
2019-06-25,7.052695097338482
2019-06-26,7.05303241943671
2019-06-27,7.054328752724003
2019-06-28,7.051491920460522
2019-07-01,7.054881343872431
2019-07-02,7.061600197783543
2019-07-03,7.065732912386574
2019-07-04,
2019-07-05,7.064981225326323
2019-07-08,7.074379271168793
2019-07-09,7.073439194623068
2019-07-10,7.0746078048721595
2019-07-11,7.067618184368604
2019-07-12,7.072175899119501
2019-07-15,7.072455827018689
2019-07-16,7.070987454059799
2019-07-17,7.074193019898359
2019-07-18,7.071819513880261
2019-07-19,7.068103854965684
2019-07-22,7.071717666193388
2019-07-23,7.072184382934504
2019-07-24,7.071182795589604
2019-07-25,7.074260751646795
2019-07-26,7.077084465943955
2019-07-29,7.076113128758705
2019-07-30,7.074912435256319
2019-07-31,7.075589059603395
2019-08-01,7.079184394609668
2019-08-02,7.087231123909478
2019-08-05,7.102910793756178
2019-08-06,7.102359428289781
2019-08-07,7.102054812535498
2019-08-08,7.097358592649234
2019-08-09,7.101799522471072
2019-08-12,7.103075321561748
2019-08-13,7.107179743675754
2019-08-14,7.100390137051156
2019-08-15,7.1019559983061695
2019-08-16,7.094857058949081
2019-08-19,7.0988713834575865
2019-08-20,7.0966634297959
2019-08-21,7.091742115095153
2019-08-22,7.095860080531819
2019-08-23,7.098788776378113
2019-08-26,7.104563068475375
2019-08-27,7.099515484587213
2019-08-28,7.101470019605535
2019-08-29,7.103437187477928
2019-08-30,7.099465953072777
2019-09-02,
2019-09-03,7.100390137051156
2019-09-04,7.096588919391315
2019-09-05,7.090226824527217
2019-09-06,7.0874149628002785
2019-09-09,7.083664654948197
2019-09-10,7.0827332710206585
2019-09-11,7.082976689285785
2019-09-12,7.073862761913064
2019-09-13,7.070401200416095
2019-09-16,7.075775051065232
2019-09-17,7.07842589303523
2019-09-18,7.082976689285785
2019-09-19,7.084955410302995
2019-09-20,7.080161170988715
2019-09-23,7.086303057356518
2019-09-24,7.087172622628702
2019-09-25,7.090218492408984
2019-09-26,7.091733795592992
2019-09-27,7.090101835463597
2019-09-30,7.0866125085848735
2019-10-01,7.089209793336741
2019-10-02,7.094624811372121
2019-10-03,7.093960949497392
2019-10-04,7.084167744768724
2019-10-07,7.087147549603515
2019-10-08,7.084427575377393
2019-10-09,7.0878159485623025
2019-10-10,7.0817590050025885
2019-10-11,7.086411794376143
2019-10-14,
2019-10-15,7.077219533773536
2019-10-16,7.078661932960793
2019-10-17,7.072464308459177
2019-10-18,7.07416761930991
2019-10-21,7.066953200030908
2019-10-22,7.065177743536931
2019-10-23,7.066526695315831
2019-10-24,7.067481813371095
2019-10-25,7.066108544135289
2019-10-28,7.0649043163822025
2019-10-29,7.058783947542806
2019-10-30,7.062842662822322
2019-10-31,7.063989501012773
2019-11-01,7.060862557512679
2019-11-04,7.055563027744216
2019-11-05,7.054138728970463
2019-11-06,7.05335233781702
2019-11-07,7.051370656894012
2019-11-08,7.053706722466366
2019-11-11,
2019-11-12,7.056864701569978
2019-11-13,7.062842662822322
2019-11-14,7.064605169802422
2019-11-15,7.062174494179117
2019-11-18,7.059411421465207
2019-11-19,7.062303022826187
2019-11-20,7.064588073008926
2019-11-21,7.069627499408672
